job,day,month,duration,campaign,pdays,previous,Outcome
retired,26,may,314,1,-1,0,no
technician,15,may,579,1,-1,0,no
blue-collar,8,jul,554,3,-1,0,no
retired,7,oct,323,1,-1,0,no
management,13,aug,227,2,-1,0,no
services,4,jul,134,2,-1,0,no
admin.,7,oct,223,1,-1,0,no
blue-collar,8,may,134,1,170,5,no
services,28,jan,155,1,-1,0,no
technician,21,jul,130,4,-1,0,no
management,7,jul,630,3,-1,0,no
technician,19,nov,164,2,-1,0,no
management,16,jul,268,2,182,3,yes
entrepreneur,5,may,380,1,-1,0,no
management,9,may,154,2,-1,0,no
services,3,jun,154,5,-1,0,no
retired,15,may,221,1,-1,0,no
management,14,aug,67,2,-1,0,no
blue-collar,14,may,367,2,297,1,no
technician,14,aug,87,6,-1,0,no
blue-collar,5,feb,701,1,-1,0,no
unemployed,17,nov,204,2,196,1,no
admin.,16,jul,652,1,-1,0,yes
retired,26,aug,63,2,-1,0,no
admin.,6,may,150,1,-1,0,no
services,7,jul,398,2,460,2,yes
management,30,jun,224,1,-1,0,yes
blue-collar,7,may,406,2,-1,0,no
technician,7,jul,60,4,-1,0,no
blue-collar,30,may,521,2,-1,0,no
admin.,17,apr,279,1,-1,0,no
blue-collar,20,may,203,2,-1,0,no
blue-collar,18,nov,201,2,-1,0,no
blue-collar,20,jun,372,3,-1,0,no
services,18,may,391,1,-1,0,yes
management,14,aug,165,2,-1,0,no
blue-collar,11,aug,231,5,-1,0,no
unknown,1,jul,291,2,-1,0,no
admin.,14,may,149,2,-1,0,no
admin.,19,oct,233,1,137,20,no
blue-collar,12,feb,473,1,182,1,no
unemployed,4,feb,736,1,-1,0,yes
blue-collar,6,may,337,1,-1,0,no
management,11,may,553,1,367,7,no
technician,21,nov,345,2,-1,0,no
services,13,may,65,2,-1,0,no
management,13,aug,9,1,-1,0,no
management,14,apr,259,2,145,3,no
blue-collar,9,jun,371,3,-1,0,no
self-employed,3,feb,280,2,-1,0,no
unemployed,21,apr,243,1,-1,0,yes
housemaid,23,jul,435,3,-1,0,no
student,30,jun,258,6,169,3,yes
management,29,jul,7,5,-1,0,no
self-employed,15,jul,317,5,-1,0,no
blue-collar,30,jan,76,2,207,1,no
student,26,aug,170,4,-1,0,yes
technician,17,nov,386,2,-1,0,yes
services,18,may,83,2,-1,0,no
admin.,19,aug,65,1,-1,0,no
blue-collar,13,aug,69,1,-1,0,no
management,17,jun,564,2,-1,0,no
admin.,21,jul,588,1,-1,0,no
blue-collar,18,aug,113,4,-1,0,no
technician,21,may,16,1,-1,0,no
blue-collar,15,jul,779,2,-1,0,no
management,11,may,281,2,266,6,no
self-employed,21,aug,1877,3,-1,0,yes
unemployed,15,sep,51,1,-1,0,no
technician,28,jul,32,3,-1,0,no
blue-collar,5,feb,176,1,288,3,no
retired,14,apr,161,1,-1,0,yes
blue-collar,18,nov,187,3,-1,0,no
blue-collar,26,may,24,1,-1,0,no
blue-collar,30,may,67,3,-1,0,no
admin.,8,may,85,1,168,2,no
technician,9,may,317,2,-1,0,no
management,28,aug,236,10,-1,0,no
admin.,7,may,54,1,345,2,no
management,5,feb,71,1,-1,0,no
management,4,feb,489,1,-1,0,yes
management,19,jun,39,2,-1,0,no
management,12,aug,204,2,-1,0,no
management,22,jul,455,2,-1,0,no
services,30,may,86,1,-1,0,no
management,18,nov,190,2,-1,0,no
admin.,8,may,280,2,-1,0,no
management,11,aug,588,2,-1,0,no
retired,19,jun,45,9,-1,0,no
technician,21,jul,168,5,-1,0,no
admin.,29,jan,194,4,436,1,no
technician,8,may,103,3,-1,0,no
entrepreneur,6,may,333,2,-1,0,no
management,29,jul,102,3,-1,0,no
unemployed,1,jul,92,1,-1,0,no
entrepreneur,6,feb,213,2,-1,0,no
technician,26,may,289,1,-1,0,no
technician,22,aug,77,2,-1,0,no
admin.,1,jun,324,3,90,2,yes
technician,29,jan,84,3,183,3,no
self-employed,29,jan,168,1,-1,0,no
technician,17,apr,380,1,-1,0,no
blue-collar,4,oct,10,1,-1,0,no
admin.,28,may,199,2,-1,0,no
admin.,9,may,35,3,-1,0,no
services,26,may,82,2,-1,0,no
management,20,oct,676,2,146,2,yes
admin.,3,jun,455,1,-1,0,no
housemaid,16,mar,80,4,-1,0,no
blue-collar,29,jan,549,2,-1,0,no
technician,6,may,135,1,-1,0,no
blue-collar,10,jul,412,1,-1,0,no
technician,20,jun,101,3,-1,0,no
management,28,jan,253,2,-1,0,no
admin.,6,apr,272,1,335,4,no
admin.,17,jul,84,1,-1,0,no
management,20,nov,135,2,-1,0,no
admin.,23,jul,166,1,-1,0,no
admin.,31,jul,18,7,-1,0,no
admin.,5,may,147,2,347,1,no
unknown,9,jun,63,1,-1,0,no
admin.,17,nov,65,2,119,1,no
technician,2,feb,194,2,-1,0,no
services,11,jul,333,2,-1,0,no
admin.,15,may,14,5,-1,0,no
admin.,11,jun,140,1,-1,0,no
services,16,jun,109,3,-1,0,no
self-employed,23,jul,61,2,-1,0,no
admin.,19,nov,377,3,7,4,no
services,2,feb,96,1,271,2,no
technician,8,may,152,2,347,1,no
retired,15,jun,382,2,-1,0,yes
blue-collar,23,jul,97,6,-1,0,no
self-employed,29,jul,543,12,-1,0,no
management,20,nov,240,2,-1,0,no
services,17,jun,48,2,-1,0,no
student,5,jun,471,2,-1,0,no
retired,30,jul,354,3,-1,0,no
blue-collar,30,may,435,2,-1,0,no
services,21,nov,152,2,-1,0,no
technician,3,apr,285,1,-1,0,no
retired,15,apr,185,1,181,2,yes
technician,4,may,301,1,88,2,no
technician,6,aug,273,2,-1,0,no
technician,19,aug,768,2,141,3,yes
management,19,nov,1337,4,126,1,no
blue-collar,21,apr,403,1,-1,0,yes
technician,18,nov,139,2,-1,0,no
technician,9,jul,196,1,-1,0,no
technician,8,jul,115,1,61,1,no
services,2,feb,60,1,271,1,no
retired,28,aug,17,14,-1,0,no
technician,13,aug,141,3,-1,0,no
blue-collar,23,jun,95,3,-1,0,no
technician,15,may,10,2,373,1,no
self-employed,19,nov,198,1,-1,0,no
management,12,aug,220,4,-1,0,no
management,3,aug,654,2,-1,0,yes
technician,11,aug,71,2,-1,0,no
blue-collar,13,may,256,2,351,2,no
blue-collar,10,jul,834,10,-1,0,no
services,21,aug,151,3,-1,0,no
retired,31,jul,20,3,-1,0,no
technician,26,may,178,5,-1,0,no
blue-collar,26,may,59,2,-1,0,no
self-employed,13,aug,111,7,-1,0,no
management,20,nov,186,1,-1,0,no
services,6,may,227,1,-1,0,no
technician,15,may,297,3,-1,0,no
technician,20,apr,210,1,242,1,no
blue-collar,18,may,9,1,-1,0,no
technician,23,sep,112,1,62,6,no
unknown,25,aug,112,6,-1,0,no
entrepreneur,9,jun,222,3,-1,0,no
technician,13,may,195,3,351,10,no
blue-collar,26,jul,768,2,91,5,no
student,26,jan,123,1,-1,0,no
technician,27,aug,145,3,-1,0,no
blue-collar,2,apr,124,1,308,2,no
technician,5,may,216,3,-1,0,no
housemaid,6,jun,69,3,-1,0,no
unemployed,22,jul,168,4,-1,0,no
admin.,22,jul,483,7,-1,0,no
self-employed,19,nov,690,3,-1,0,no
management,28,aug,125,12,-1,0,no
admin.,4,jun,344,2,-1,0,no
blue-collar,14,may,673,2,-1,0,no
management,28,jan,60,1,250,1,no
management,12,may,247,2,-1,0,no
unemployed,27,may,123,2,-1,0,no
management,11,jul,144,2,-1,0,no
technician,8,may,9,2,172,5,no
management,9,feb,155,3,-1,0,no
management,14,aug,134,5,-1,0,no
blue-collar,11,jul,221,2,-1,0,no
retired,3,feb,84,3,265,2,no
blue-collar,8,aug,71,2,-1,0,no
blue-collar,23,may,246,4,-1,0,no
management,23,jul,361,2,-1,0,no
unemployed,12,aug,119,4,-1,0,no
technician,29,jul,375,2,-1,0,no
blue-collar,10,jul,1097,3,-1,0,yes
housemaid,25,jul,97,1,-1,0,no
technician,26,aug,181,2,-1,0,no
technician,2,feb,83,3,-1,0,no
entrepreneur,21,jul,180,4,-1,0,no
technician,18,aug,543,1,78,2,no
self-employed,23,may,373,1,-1,0,no
student,7,may,230,1,-1,0,no
technician,15,jul,83,3,-1,0,no
admin.,31,jul,58,13,-1,0,no
services,29,jul,88,6,-1,0,no
services,2,jun,297,1,28,3,no
blue-collar,18,may,487,1,-1,0,yes
management,20,jun,29,3,-1,0,no
self-employed,21,nov,484,4,-1,0,no
blue-collar,21,jul,262,4,-1,0,no
technician,15,may,644,1,-1,0,no
housemaid,12,aug,699,2,79,1,no
technician,28,aug,247,2,-1,0,no
blue-collar,18,nov,49,3,-1,0,no
blue-collar,13,may,341,1,-1,0,no
self-employed,13,may,64,2,-1,0,no
blue-collar,20,apr,121,1,-1,0,no
blue-collar,2,jun,98,1,-1,0,no
admin.,16,may,88,6,-1,0,no
student,20,jun,197,6,-1,0,no
technician,9,may,331,1,-1,0,no
admin.,6,jun,83,3,-1,0,no
self-employed,26,may,138,2,-1,0,no
management,17,jul,312,5,-1,0,no
admin.,4,aug,120,3,1,6,yes
blue-collar,7,aug,526,2,-1,0,yes
blue-collar,28,may,211,2,-1,0,no
services,18,aug,62,6,-1,0,no
technician,15,jul,135,5,-1,0,no
management,14,aug,101,2,-1,0,no
entrepreneur,30,jul,988,2,-1,0,yes
management,28,jan,451,1,-1,0,no
blue-collar,23,may,1030,1,-1,0,yes
entrepreneur,24,jul,1484,24,-1,0,yes
blue-collar,9,apr,317,5,-1,0,yes
retired,18,may,445,1,-1,0,no
retired,1,jun,383,2,188,5,no
blue-collar,22,jul,605,1,-1,0,no
blue-collar,14,jul,330,2,-1,0,no
management,25,jul,171,2,-1,0,no
technician,23,jul,442,2,-1,0,no
entrepreneur,17,apr,772,1,-1,0,yes
unemployed,8,may,249,5,-1,0,no
management,9,may,357,1,-1,0,no
admin.,18,nov,147,2,-1,0,no
blue-collar,6,may,199,7,167,1,no
management,28,jan,271,2,-1,0,no
blue-collar,30,jul,783,3,-1,0,no
management,20,aug,472,2,-1,0,no
admin.,27,may,223,3,89,2,yes
blue-collar,21,may,395,2,-1,0,no
blue-collar,4,feb,56,1,-1,0,no
admin.,17,jun,641,6,-1,0,no
entrepreneur,4,may,429,4,164,2,yes
unemployed,31,may,113,1,-1,0,no
admin.,20,jun,11,11,-1,0,no
blue-collar,2,feb,157,1,-1,0,no
self-employed,29,jul,79,4,-1,0,no
management,4,aug,178,1,1,1,yes
blue-collar,9,jun,168,1,-1,0,no
technician,9,nov,425,1,462,1,no
unemployed,19,nov,162,1,-1,0,no
entrepreneur,18,jul,799,2,-1,0,yes
unemployed,29,dec,1370,3,209,3,yes
admin.,28,may,357,1,-1,0,no
admin.,22,jul,22,6,-1,0,no
technician,16,apr,215,3,321,3,no
admin.,31,jul,56,4,-1,0,no
services,21,jul,1017,6,-1,0,yes
management,16,apr,298,4,-1,0,yes
management,7,may,126,1,-1,0,no
blue-collar,20,sep,9,1,-1,0,no
management,5,feb,8,1,254,5,no
retired,14,oct,201,1,183,1,no
self-employed,6,may,106,2,-1,0,no
management,21,nov,164,1,176,1,no
retired,5,feb,97,1,-1,0,no
management,23,jul,151,1,-1,0,no
self-employed,30,may,96,2,-1,0,no
management,16,apr,555,1,-1,0,no
blue-collar,11,may,270,2,347,1,no
management,29,jul,339,3,-1,0,no
management,4,sep,328,2,94,2,yes
admin.,16,may,159,1,-1,0,no
self-employed,6,may,323,2,364,1,no
blue-collar,20,apr,342,1,-1,0,no
management,21,nov,180,1,-1,0,no
management,28,jul,60,3,-1,0,no
management,17,nov,223,1,96,2,no
management,18,may,1434,2,356,4,no
services,6,may,30,2,-1,0,no
services,16,may,134,4,-1,0,no
management,9,feb,10,2,-1,0,no
admin.,2,apr,397,2,-1,0,yes
student,5,may,620,1,-1,0,no
management,21,nov,6,6,-1,0,no
blue-collar,7,may,209,2,-1,0,no
housemaid,15,may,419,2,-1,0,no
blue-collar,18,nov,283,2,-1,0,no
management,8,aug,188,2,-1,0,no
student,16,sep,267,1,-1,0,no
technician,7,apr,196,2,-1,0,no
management,17,apr,245,1,149,2,no
technician,26,aug,323,1,-1,0,yes
entrepreneur,19,nov,1065,1,183,1,no
housemaid,11,jun,138,5,-1,0,no
retired,4,jun,207,1,-1,0,no
services,25,jun,456,3,-1,0,no
technician,5,aug,261,1,-1,0,no
admin.,11,may,80,1,308,4,no
services,18,may,131,6,363,9,no
management,6,jun,94,7,-1,0,no
management,14,may,567,3,275,4,yes
technician,30,may,153,1,-1,0,no
services,13,may,109,1,-1,0,no
blue-collar,30,apr,53,1,325,1,no
blue-collar,16,jun,77,1,-1,0,no
retired,27,mar,234,2,-1,0,yes
services,13,may,121,2,341,4,no
blue-collar,15,jul,155,2,-1,0,no
blue-collar,17,apr,108,1,-1,0,no
management,17,jun,159,3,-1,0,no
technician,26,may,208,3,-1,0,no
blue-collar,12,may,215,1,-1,0,no
services,6,may,597,3,-1,0,no
management,4,feb,505,2,260,1,no
blue-collar,3,jun,380,4,-1,0,no
retired,12,mar,120,1,-1,0,no
technician,27,aug,106,4,-1,0,no
blue-collar,14,may,332,2,358,2,no
technician,15,may,221,4,-1,0,no
admin.,4,jun,80,1,-1,0,no
technician,4,may,60,5,87,1,no
blue-collar,13,may,212,3,-1,0,no
blue-collar,14,apr,493,3,-1,0,no
technician,19,nov,98,2,-1,0,no
blue-collar,8,jul,681,1,-1,0,yes
blue-collar,22,jul,203,1,-1,0,no
retired,19,nov,157,1,-1,0,no
blue-collar,16,jun,287,1,-1,0,no
self-employed,7,aug,159,2,-1,0,no
technician,14,may,125,1,-1,0,no
technician,8,jul,202,2,-1,0,no
management,8,may,37,3,303,1,no
admin.,28,jan,161,1,98,2,yes
management,6,aug,72,4,-1,0,no
blue-collar,2,feb,342,1,-1,0,no
retired,16,nov,262,1,183,1,yes
management,13,aug,325,2,-1,0,no
blue-collar,19,aug,223,7,-1,0,no
management,31,jul,1212,4,-1,0,yes
services,29,aug,319,2,-1,0,no
blue-collar,29,jan,182,2,-1,0,no
self-employed,17,jul,330,1,-1,0,no
technician,19,nov,514,1,-1,0,no
admin.,14,may,213,1,-1,0,no
management,7,may,551,1,351,1,no
technician,16,apr,472,2,-1,0,no
management,15,apr,140,4,327,2,no
services,7,may,142,1,-1,0,no
blue-collar,4,jun,135,3,-1,0,no
blue-collar,23,may,293,1,-1,0,no
technician,13,may,107,1,-1,0,no
blue-collar,20,may,127,2,-1,0,no
management,20,nov,1816,1,-1,0,no
management,4,feb,200,3,-1,0,no
management,12,may,418,1,-1,0,no
technician,22,jul,387,4,-1,0,no
blue-collar,5,may,156,1,337,3,no
management,21,jul,121,2,-1,0,no
entrepreneur,6,jun,108,2,-1,0,no
self-employed,7,may,47,1,-1,0,no
admin.,20,apr,16,5,322,4,no
management,18,nov,54,2,-1,0,no
management,6,aug,265,2,-1,0,no
admin.,23,may,168,1,-1,0,no
admin.,7,may,115,3,-1,0,no
technician,26,aug,31,8,-1,0,no
management,25,jul,279,4,-1,0,yes
retired,1,sep,28,2,-1,0,no
blue-collar,20,apr,369,1,-1,0,no
technician,13,may,247,1,-1,0,no
retired,22,apr,155,1,-1,0,no
admin.,10,jul,89,1,-1,0,no
entrepreneur,17,nov,180,1,-1,0,no
technician,18,nov,854,1,-1,0,yes
admin.,17,apr,46,1,-1,0,no
technician,28,may,266,2,-1,0,no
blue-collar,5,may,321,2,-1,0,no
management,28,aug,99,24,-1,0,no
blue-collar,9,may,147,1,-1,0,no
self-employed,30,apr,430,1,-1,0,yes
services,7,jul,264,1,-1,0,no
technician,16,jul,156,6,-1,0,no
management,26,may,118,1,102,2,no
unemployed,6,may,343,3,-1,0,no
blue-collar,7,aug,226,3,-1,0,no
management,1,jun,5,1,-1,0,no
blue-collar,20,nov,138,1,-1,0,no
blue-collar,10,sep,185,1,99,5,yes
housemaid,3,feb,722,1,99,4,no
self-employed,21,may,748,1,-1,0,no
management,26,may,142,1,-1,0,no
management,17,nov,523,3,-1,0,no
blue-collar,20,jun,8,10,-1,0,no
management,17,nov,153,1,-1,0,no
self-employed,20,may,210,2,-1,0,no
entrepreneur,10,jul,121,1,-1,0,no
admin.,12,mar,212,1,-1,0,yes
management,21,may,253,3,-1,0,no
blue-collar,13,may,139,4,-1,0,no
blue-collar,9,may,71,1,-1,0,no
retired,4,may,421,1,92,2,yes
services,28,may,199,1,-1,0,no
blue-collar,14,may,108,1,-1,0,no
management,20,may,247,2,-1,0,no
management,9,jul,236,4,-1,0,no
technician,4,feb,97,4,196,5,no
management,14,jul,109,8,-1,0,no
management,2,jun,112,2,-1,0,no
housemaid,19,jun,15,10,-1,0,no
services,22,jul,502,3,-1,0,no
blue-collar,16,may,30,3,-1,0,no
blue-collar,2,jun,193,2,-1,0,no
management,13,aug,347,2,-1,0,no
blue-collar,15,may,468,2,-1,0,no
services,27,may,148,1,-1,0,no
admin.,16,mar,295,1,91,2,yes
admin.,26,aug,388,6,-1,0,yes
technician,12,aug,1735,4,-1,0,yes
management,6,may,339,1,-1,0,no
housemaid,13,may,172,1,370,1,no
technician,19,nov,117,2,-1,0,no
technician,20,jun,587,2,-1,0,no
management,19,nov,501,2,-1,0,no
management,14,aug,203,5,84,1,no
admin.,25,jul,282,9,-1,0,no
management,28,aug,110,5,-1,0,no
student,10,jul,104,2,-1,0,yes
management,15,oct,231,1,-1,0,no
unemployed,20,may,378,3,-1,0,no
self-employed,15,jul,193,6,-1,0,no
self-employed,24,jun,110,5,-1,0,no
blue-collar,12,may,92,1,-1,0,no
blue-collar,23,jun,1407,1,-1,0,yes
blue-collar,6,feb,168,1,212,2,no
management,17,jul,738,3,-1,0,no
technician,18,feb,220,1,63,5,yes
management,27,may,89,2,-1,0,no
management,31,jul,30,29,-1,0,no
unemployed,20,apr,103,1,325,4,no
technician,2,jun,70,1,-1,0,no
blue-collar,20,apr,904,2,-1,0,yes
management,14,may,159,1,367,2,no
retired,11,sep,336,1,81,2,no
services,19,jun,220,1,-1,0,no
entrepreneur,17,nov,238,1,-1,0,no
admin.,21,nov,585,4,191,4,no
blue-collar,8,aug,293,3,-1,0,no
services,28,may,68,1,-1,0,no
retired,17,jun,97,1,-1,0,no
admin.,9,may,1713,1,-1,0,no
unemployed,9,jul,218,3,-1,0,no
services,14,may,109,1,360,2,no
management,21,nov,661,1,-1,0,no
services,6,may,145,1,-1,0,no
management,18,may,54,4,-1,0,no
admin.,20,apr,111,1,-1,0,no
technician,14,may,566,2,-1,0,no
blue-collar,3,jun,136,1,-1,0,no
blue-collar,4,aug,273,1,-1,0,no
management,30,jun,160,1,-1,0,no
management,28,jul,76,4,-1,0,no
technician,19,aug,44,1,-1,0,no
admin.,27,may,239,1,-1,0,no
admin.,12,jul,250,2,181,4,yes
technician,15,jul,792,4,-1,0,no
services,23,jul,198,13,-1,0,no
blue-collar,6,may,73,1,-1,0,no
admin.,20,aug,157,3,-1,0,no
blue-collar,24,jul,90,6,-1,0,no
self-employed,5,feb,236,2,-1,0,no
management,16,jul,118,5,-1,0,no
management,18,nov,40,1,-1,0,no
student,17,apr,346,1,-1,0,no
blue-collar,19,jun,200,2,-1,0,no
technician,20,apr,187,3,332,3,no
retired,11,sep,113,1,80,1,no
self-employed,16,may,192,32,-1,0,no
technician,29,may,92,1,-1,0,no
admin.,8,may,682,2,85,7,no
blue-collar,25,aug,139,9,-1,0,no
management,6,aug,501,2,-1,0,yes
blue-collar,24,jul,651,1,-1,0,yes
technician,18,aug,405,13,-1,0,no
technician,23,may,350,1,-1,0,no
student,8,apr,125,2,-1,0,no
services,13,may,36,2,-1,0,no
technician,21,nov,35,1,176,1,no
blue-collar,8,may,389,2,-1,0,no
technician,29,jan,194,1,247,1,no
self-employed,29,jan,168,3,-1,0,no
management,4,jun,347,3,-1,0,no
unemployed,30,jan,3025,2,-1,0,no
student,16,mar,83,13,-1,0,no
entrepreneur,9,may,332,2,-1,0,no
self-employed,14,aug,219,10,-1,0,no
management,16,apr,427,1,150,1,no
retired,19,aug,65,5,-1,0,no
services,5,may,192,2,-1,0,no
retired,5,aug,155,1,-1,0,no
services,11,may,161,1,-1,0,no
management,21,jul,533,1,-1,0,no
blue-collar,4,feb,19,3,175,2,no
technician,5,feb,193,1,176,8,no
management,28,jul,819,3,-1,0,no
technician,30,apr,278,1,-1,0,yes
admin.,4,may,211,3,-1,0,no
management,29,jan,617,2,-1,0,no
technician,23,jul,61,2,-1,0,no
management,25,jul,197,6,-1,0,no
self-employed,18,may,34,7,-1,0,no
self-employed,18,jul,95,4,-1,0,no
blue-collar,3,jun,147,2,-1,0,no
blue-collar,4,jul,668,2,-1,0,no
self-employed,5,jun,87,2,-1,0,no
technician,21,jul,405,1,-1,0,no
services,13,may,83,7,-1,0,no
technician,22,jun,115,1,-1,0,no
unemployed,10,jul,108,1,-1,0,no
entrepreneur,29,jan,113,1,-1,0,no
housemaid,7,aug,58,2,382,1,no
housemaid,8,aug,148,4,-1,0,no
retired,29,jan,188,1,261,2,no
technician,28,jul,75,3,-1,0,no
retired,8,jul,523,3,-1,0,no
entrepreneur,18,nov,103,1,-1,0,no
blue-collar,17,apr,146,2,147,4,no
services,2,jul,356,1,-1,0,yes
blue-collar,17,jul,71,1,-1,0,no
admin.,8,aug,189,2,-1,0,no
blue-collar,28,may,251,1,-1,0,no
technician,23,jul,127,8,-1,0,no
unemployed,4,feb,197,1,-1,0,no
technician,5,may,84,1,-1,0,no
services,8,may,141,2,-1,0,no
blue-collar,2,jun,171,1,-1,0,no
entrepreneur,21,jul,262,3,-1,0,no
self-employed,7,aug,352,2,-1,0,yes
technician,9,apr,236,1,336,1,no
blue-collar,2,jun,184,1,-1,0,no
management,25,jul,568,2,-1,0,no
management,27,aug,105,2,-1,0,no
technician,26,may,260,1,-1,0,no
technician,11,aug,222,3,182,4,yes
blue-collar,6,jun,447,2,-1,0,no
technician,21,aug,239,8,-1,0,no
blue-collar,11,may,426,1,-1,0,no
management,12,may,333,1,58,3,no
self-employed,6,feb,174,2,-1,0,no
technician,15,may,284,2,-1,0,no
management,8,may,428,1,-1,0,no
retired,16,jul,236,1,-1,0,no
technician,29,aug,150,2,-1,0,no
management,24,dec,237,1,206,2,no
management,25,jul,1031,8,-1,0,yes
technician,30,nov,107,1,105,3,no
blue-collar,21,may,45,13,-1,0,no
retired,18,mar,140,10,-1,0,no
self-employed,9,jun,700,1,-1,0,yes
management,18,nov,155,1,-1,0,no
blue-collar,3,jun,211,5,-1,0,no
self-employed,6,aug,165,4,-1,0,no
blue-collar,10,jul,144,5,-1,0,no
management,5,jun,590,3,-1,0,yes
admin.,20,jun,43,8,-1,0,no
unknown,20,jun,471,2,-1,0,no
admin.,15,may,295,2,-1,0,no
management,2,jun,526,2,-1,0,yes
entrepreneur,28,aug,27,10,-1,0,no
self-employed,12,aug,1181,4,-1,0,yes
technician,26,aug,103,2,-1,0,no
management,18,nov,249,3,112,2,no
entrepreneur,5,may,231,4,-1,0,no
management,13,apr,123,2,147,3,no
housemaid,16,apr,199,2,146,2,no
entrepreneur,5,feb,197,1,199,3,no
self-employed,28,may,67,2,-1,0,no
services,8,jul,220,1,-1,0,no
retired,7,aug,122,6,-1,0,no
retired,26,may,104,7,-1,0,no
retired,31,jul,307,6,-1,0,no
retired,11,mar,117,1,91,1,no
technician,5,may,253,1,342,1,no
management,17,jul,770,2,-1,0,no
technician,3,apr,190,1,133,1,no
management,16,jul,767,5,-1,0,yes
technician,1,jun,232,2,-1,0,yes
entrepreneur,19,nov,854,2,170,3,no
blue-collar,30,may,293,6,-1,0,no
technician,16,nov,986,1,94,8,no
management,19,nov,66,1,-1,0,no
management,2,feb,114,1,208,1,no
retired,17,jul,205,1,-1,0,no
technician,28,jul,31,4,-1,0,no
blue-collar,11,jun,113,1,-1,0,no
technician,6,feb,200,1,253,1,no
entrepreneur,21,nov,158,1,135,1,no
management,4,jun,99,4,-1,0,no
unemployed,31,jul,45,3,-1,0,no
technician,12,may,239,4,278,2,no
management,11,may,168,3,-1,0,no
blue-collar,26,aug,196,2,-1,0,no
services,11,jun,319,6,-1,0,no
housemaid,17,jun,209,3,-1,0,no
admin.,28,sep,184,1,-1,0,no
technician,29,aug,156,2,-1,0,no
self-employed,31,jul,35,16,-1,0,no
technician,19,feb,88,2,-1,0,no
services,1,jun,347,3,140,2,yes
services,16,apr,126,2,149,8,no
management,21,nov,157,5,-1,0,no
blue-collar,12,may,212,5,-1,0,no
management,19,oct,123,1,-1,0,no
technician,7,may,306,5,-1,0,no
technician,2,jun,63,1,-1,0,no
student,16,jun,119,1,-1,0,no
blue-collar,21,may,29,1,-1,0,no
entrepreneur,31,jul,117,2,-1,0,no
management,18,nov,231,2,-1,0,no
retired,8,jul,123,4,-1,0,no
self-employed,18,nov,265,1,-1,0,no
technician,15,jul,144,1,-1,0,no
blue-collar,16,jun,559,3,-1,0,no
entrepreneur,5,may,74,1,168,4,no
services,10,jul,183,1,-1,0,no
technician,24,jul,631,1,-1,0,no
management,12,aug,1282,6,-1,0,yes
blue-collar,13,may,108,2,-1,0,no
retired,11,jun,1199,1,-1,0,yes
self-employed,23,may,736,2,-1,0,yes
technician,19,aug,264,1,-1,0,no
retired,11,jun,262,1,-1,0,no
blue-collar,13,may,244,1,-1,0,no
housemaid,19,may,107,2,-1,0,no
blue-collar,24,jun,9,1,-1,0,no
housemaid,31,jul,149,2,-1,0,no
technician,28,jan,321,2,-1,0,no
student,17,apr,224,1,322,3,no
management,29,apr,157,6,-1,0,no
admin.,25,jul,250,1,-1,0,no
blue-collar,11,aug,209,4,-1,0,no
